GH,GA,scorer,time,scoring,game,season
5,2,Dimas,78,Estrela Amadora,Estrela Amadora vs. Gil Vicente 5:2,1990-1991
1,0,Georgi Slavkov,26,GD Chaves,GD Chaves vs. FC Tirsense 1:1,1990-1991
1,1,Silvinho,46,FC Tirsense,GD Chaves vs. FC Tirsense 1:1,1990-1991
0,1,Domingos Paciência,52,FC Porto,Sporting Braga vs. FC Porto 0:1,1990-1991
1,0,Barny,8,Boavista,Boavista vs. FC Penafiel 5:0,1990-1991
2,0,Jorge Andrade,18,Boavista,Boavista vs. FC Penafiel 5:0,1990-1991
3,0,Marlon Brandão,40,Boavista,Boavista vs. FC Penafiel 5:0,1990-1991
4,0,Barny,52,Boavista,Boavista vs. FC Penafiel 5:0,1990-1991
5,0,Jorge Andrade,76,Boavista,Boavista vs. FC Penafiel 5:0,1990-1991
1,0,João Baptista,67,Os Belenenses,Os Belenenses vs. Vitória Guimarães 1:0,1990-1991
NA,NA,NA,NA,NA,Vitória Guimarães vs. Estrela Amadora 0:0,1990-1991
1,0,Fernando Gomes,70,Sporting CP,Sporting CP vs. Sporting Braga 3:0,1990-1991
2,0,Oceano,85,Sporting CP,Sporting CP vs. Sporting Braga 3:0,1990-1991
3,0,Fernando Gomes,89,Sporting CP,Sporting CP vs. Sporting Braga 3:0,1990-1991
1,0,Tozé,22,SC Salgueiros,SC Salgueiros vs. Boavista 2:0,1990-1991
2,0,Tozé,71,SC Salgueiros,SC Salgueiros vs. Boavista 2:0,1990-1991
1,0,Geraldão,12,FC Porto,FC Porto vs. GD Chaves 3:1,1990-1991
2,0,Domingos Paciência,52,FC Porto,FC Porto vs. GD Chaves 3:1,1990-1991
2,1,Zeljko Vukovic,74,GD Chaves,FC Porto vs. GD Chaves 3:1,1990-1991
3,1,Emil Kostadinov,82,FC Porto,FC Porto vs. GD Chaves 3:1,1990-1991
1,0,Roldão,48,FC Penafiel,FC Penafiel vs. Os Belenenses 1:0,1990-1991
0,1,Quim,51,Vitória Setúbal,CS Marítimo vs. Vitória Setúbal 2:1,1990-1991
1,1,Jorge Ferreira,53,CS Marítimo,CS Marítimo vs. Vitória Setúbal 2:1,1990-1991
2,1,Carlos Jorge,90,CS Marítimo,CS Marítimo vs. Vitória Setúbal 2:1,1990-1991
1,0,Nogueira,7,Gil Vicente,Gil Vicente vs. União da Madeira 1:1,1990-1991
1,1,Valadas,42,União da Madeira,Gil Vicente vs. União da Madeira 1:1,1990-1991
1,0,Miroslav Ćurčić,9,SC Farense,SC Farense vs. FC Tirsense 2:0,1990-1991
2,0,Miroslav Ćurčić,62,SC Farense,SC Farense vs. FC Tirsense 2:0,1990-1991
1,0,Rui Águas,67,SL Benfica,SL Benfica vs. FC Famalicão 1:0,1990-1991
1,0,Petar Petrov,10,SC Beira-Mar,SC Beira-Mar vs. CD Nacional 1:0,1990-1991
1,0,Stoicho Mladenov,34,Vitória Setúbal,Vitória Setúbal vs. SC Beira-Mar 1:1,1990-1991
1,1,Jorge Silvério,80,SC Beira-Mar,Vitória Setúbal vs. SC Beira-Mar 1:1,1990-1991
NA,NA,NA,NA,NA,União da Madeira vs. Vitória Guimarães 0:0,1990-1991
0,1,Geraldão,9,FC Porto,FC Tirsense vs. FC Porto 1:2,1990-1991
1,1,Eusébio,11,FC Tirsense,FC Tirsense vs. FC Porto 1:2,1990-1991
1,2,Domingos Paciência,51,FC Porto,FC Tirsense vs. FC Porto 1:2,1990-1991
1,0,Roberto Carlos,46,CD Nacional,CD Nacional vs. Gil Vicente 2:1,1990-1991
1,1,Nogueira,65,Gil Vicente,CD Nacional vs. Gil Vicente 2:1,1990-1991
2,1,Edmilson,76,CD Nacional,CD Nacional vs. Gil Vicente 2:1,1990-1991
1,0,Lula,89,FC Famalicão,FC Famalicão vs. CS Marítimo 1:0,1990-1991
1,0,Ricky Owubokiri,9,Estrela Amadora,Estrela Amadora vs. FC Penafiel 1:0,1990-1991
0,1,Oceano,25,Sporting CP,GD Chaves vs. Sporting CP 2:2,1990-1991
0,2,Fernando Gomes,28,Sporting CP,GD Chaves vs. Sporting CP 2:2,1990-1991
1,2,Filguera,53,GD Chaves,GD Chaves vs. Sporting CP 2:2,1990-1991
2,2,Gilberto,71,GD Chaves,GD Chaves vs. Sporting CP 2:2,1990-1991
0,1,Pacheco,20,SL Benfica,Sporting Braga vs. SL Benfica 1:3,1990-1991
1,1,Nedialko Mladenov,44,Sporting Braga,Sporting Braga vs. SL Benfica 1:3,1990-1991
1,2,Rui Águas,62,SL Benfica,Sporting Braga vs. SL Benfica 1:3,1990-1991
